date,predicted_total_yield,yhat_lower,yhat_upper
2020-05-16,6590.835020181483,5668.9643147214,7510.2945261575915
2020-05-17,13430.248853847743,12449.568612585368,14414.908541228051
2020-05-18,19744.529761293863,18866.870770315807,20636.137473283867
2020-05-19,25363.162988797183,24430.193414939058,26281.979154062545
2020-05-21,35319.52986439201,34365.97285204414,36285.64076938782
2020-05-22,41593.46517495137,40631.88859569992,42507.88601905192
2020-05-23,49537.54526210145,48576.52121505356,50497.96581993924
2020-05-24,57318.10659699819,56355.21191994522,58172.18718183231
2020-05-25,64572.755101040486,63642.207830139734,65533.895895119414
2020-05-27,73337.51397403839,72437.32728381171,74274.68728899505
2020-05-29,81764.27650601334,80817.72697369353,82672.981722813
2020-05-30,87843.53397456954,86913.42537562766,88844.09583005839
2020-05-31,93764.07114458964,92835.32029256943,94687.75614763382
2020-06-01,100284.17591603305,99330.64376409508,101265.29109459039
2020-06-02,107852.53984158064,106852.7866617499,108778.764199198
2020-06-03,114806.60745176196,113848.25898128992,115765.14211399923
2020-06-04,121708.37256288448,120737.21904794814,122680.6851545834
2020-06-05,128989.50001550851,128126.44161771143,130010.72678391561
2020-06-06,137383.31908915399,136425.03786327215,138310.6073700329
2020-06-07,145613.61944008787,144720.19524495944,146609.26624478053
2020-06-08,153318.78689238452,152338.03174329404,154246.1628932651
2020-06-09,160328.30667688075,159353.63741490734,161319.75238050413
2020-06-10,166723.03632836114,165790.54576981082,167612.36995824802
2020-06-11,172404.1330431321,171437.62886354636,173378.52213717563
2020-06-12,178466.13688851192,177543.21176492723,179450.0649385718
2020-06-13,186198.13401954382,185204.37815048255,187129.65946357112
2020-06-14,193766.61241991655,192854.35932435392,194714.69848729036
2020-06-15,200809.95787390697,199865.56458873395,201774.89471397607
2020-06-16,207157.6556399518,206211.94076489602,208135.19552224476
2020-06-17,212891.05480939374,211922.05353123753,213911.83464903157
2020-06-18,218572.15152416498,217395.64016417807,219665.26194033597
2020-06-19,224634.15536954568,223038.33256350853,226188.1104696602
2020-06-20,232366.152500573,230056.97492640564,234504.19165798585
2020-06-21,239934.63090095075,236851.66904493255,242772.6113018907
2020-06-22,246977.97635494106,243050.5800339237,250784.70062434598
2020-06-23,253325.67412098582,248413.38628597313,257957.09023484096
2020-06-24,259059.0732904263,253161.25501740252,265165.587837897
2020-06-25,264740.1700052016,257804.78048445488,272029.9496532284
2020-06-26,270802.1738505794,262458.7056814054,279410.6112825743
2020-06-27,278534.17098160763,268541.40802994044,288173.8104882967
2020-06-28,286102.6493819844,274901.0478681111,297142.0379536167
2020-06-29,293145.99483597436,280624.7911653781,305455.0438064917
2020-06-30,299493.6926020184,285392.76473625796,313780.5424260802
